,maxtemp,temp,humid,cloud,wind,country,date,lon,lat,cityname
0,12.78,12.34,87,1,6.69,US,1618687670,-124.1573,40.5982,fortuna
1,25.05,25.05,68,100,3.96,PF,1618687558,-134.9692,-23.1203,rikitea
2,10.56,10.0,54,100,3.07,US,1618687671,-73.9662,42.6001,albany
3,10.56,10.56,93,100,3.13,NZ,1618687671,168.8643,-46.1927,mataura
4,27.78,26.85,89,20,1.54,MY,1618687671,100.3354,5.4112,georgetown
5,19.73,19.73,42,62,2.49,NA,1618687636,19.7667,-17.9333,rundu
6,-18.59,-18.59,92,100,0.69,GL,1618687672,-69.3632,77.484,qaanaaq
7,13.0,12.89,50,75,4.12,CL,1618687480,-70.9167,-53.15,punta arenas
8,21.0,21.0,88,20,2.06,TO,1618687672,-175.2,-21.2,vaini
9,25.0,25.0,94,75,2.11,MU,1618687672,57.7,-20.4081,mahebourg
10,18.89,18.89,65,0,2.26,ZA,1618687672,19.2345,-34.4187,hermanus
11,16.0,16.0,67,0,6.17,BW,1618687673,27.4833,-21.4833,tonota
12,13.0,12.61,67,1,2.06,CA,1618687673,-127.4199,50.6996,port hardy
13,26.97,26.97,74,34,7.98,PF,1618687568,-139.0333,-9.8,atuona
14,10.56,10.56,93,100,3.13,NZ,1618687673,168.3333,-46.6,bluff
15,28.59,28.59,58,83,2.98,OM,1618687674,59.5289,22.5667,sur
16,30.0,29.0,32,1,3.09,MX,1618687545,-109.9124,22.8909,cabo san lucas
17,25.4,25.4,77,100,5.39,PH,1618687674,122.6711,10.9995,dingle
18,-26.77,-26.77,100,30,1.52,RU,1618687674,80.5464,73.5069,dikson
19,10.56,10.56,93,92,3.13,NZ,1618687675,167.6833,-46.1333,tuatapere
20,20.56,19.63,88,90,4.63,US,1618687675,-159.319,22.0752,kapaa
21,6.0,6.0,75,90,2.57,US,1618687675,-152.4072,57.79,kodiak
22,15.0,14.59,94,75,3.09,JP,1618687676,140.8333,35.7333,hasaki
23,11.0,11.0,93,90,2.06,AU,1618687676,137.7667,-32.5,port augusta
24,25.68,25.68,64,100,1.99,CI,1618687676,-7.5692,9.51,odienne
25,-6.2,-6.2,90,92,2.36,RU,1618687677,71.4789,60.0625,salym
26,13.0,12.87,41,100,6.69,FR,1618687677,3.4758,43.3108,agde
27,27.22,26.63,12,1,4.63,US,1618687677,-121.4238,38.421,laguna
28,25.56,25.26,94,75,2.31,MU,1618687677,57.7575,-20.3428,bambous virieux
29,26.0,26.0,73,40,6.17,BR,1618687678,-41.0511,-21.6403,sao joao da barra
30,11.0,10.7,25,20,3.6,US,1618687678,-112.345,43.1905,blackfoot
31,16.0,16.0,44,40,5.66,AR,1618687678,-68.3,-54.8,ushuaia
32,-2.28,-2.28,97,100,2.62,RU,1618687570,-173.3,64.3833,provideniya
33,12.32,12.32,49,6,12.66,JP,1618687679,128.8419,32.6881,fukue
34,19.06,19.06,85,99,2.23,BR,1618687679,-50.0119,-24.7911,castro
35,23.02,23.02,78,100,4.89,BR,1618687591,-50.2056,-30.1811,cidreira
36,26.0,25.43,78,40,6.69,BR,1618687584,-42.0278,-22.9661,arraial do cabo
37,10.0,8.34,70,90,3.09,US,1618687680,-79.2353,42.097,jamestown
38,17.0,17.0,88,0,1.03,ZA,1618687680,25.5701,-33.918,port elizabeth
39,26.69,26.69,78,85,3.02,SB,1618687680,161.9205,-10.4544,kirakira
40,2.55,2.55,93,100,4.19,IS,1618687680,-23.7142,64.8945,olafsvik
41,16.0,15.0,62,0,2.06,TR,1618687681,40.6658,37.8486,bismil
42,23.0,23.0,53,0,2.06,BW,1618687681,27.4013,-22.4184,tamasane
43,5.0,3.05,81,90,9.26,CA,1618687681,-52.7314,47.6666,torbay
44,8.26,8.26,32,99,3.4,MN,1618687682,91.6419,48.0056,hovd
45,12.22,11.68,100,90,5.66,AU,1618687682,152.15,-32.7167,nelson bay
46,20.0,20.0,40,20,4.12,AU,1618687682,114.6,-28.7667,geraldton
